method,split,stress_level,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
diffusion_policy_credit_probe,stress_03,0.33333,10,0.65556,0.00810,0.48160,0.02420,0.44132,0.01621,0.06667,0.00967,0.24792,0.01680,0.04028,0.00832,0.11458,0.01350,0.36701,0.02072,0.64204,0.00034,0.03876,0.00010,0.25477,0.00059,0.28226,0.02179
diffusion_policy_credit_probe,stress_04,0.44444,10,0.63611,0.00664,0.47639,0.02140,0.43715,0.01301,0.07674,0.01141,0.25625,0.01897,0.05104,0.01040,0.12222,0.01318,0.35937,0.01549,0.66414,0.00039,0.05018,0.00013,0.26401,0.00056,0.23345,0.01906
diffusion_policy_credit_probe,stress_05,0.55556,10,0.62778,0.00988,0.46806,0.01578,0.40764,0.01781,0.08333,0.01267,0.25556,0.01728,0.05937,0.01400,0.12604,0.00979,0.35764,0.01754,0.68617,0.00045,0.06158,0.00010,0.27294,0.00057,0.20627,0.01793
diffusion_policy_credit_probe,stress_06,0.66667,10,0.63576,0.00960,0.45312,0.01099,0.38785,0.02106,0.09201,0.01103,0.26111,0.01412,0.05903,0.01247,0.13368,0.00974,0.34514,0.01740,0.70775,0.00046,0.07303,0.00007,0.28175,0.00051,0.19904,0.01830
diffusion_policy_credit_probe,stress_07,0.77778,10,0.64097,0.01214,0.42361,0.01857,0.37778,0.01703,0.09618,0.01271,0.28125,0.01255,0.06424,0.01153,0.13958,0.01029,0.33056,0.01878,0.72964,0.00052,0.08450,0.00008,0.29055,0.00041,0.17998,0.01642
diffusion_policy_credit_probe,stress_08,0.88889,10,0.63056,0.02371,0.40729,0.01601,0.36354,0.02375,0.10972,0.01252,0.28299,0.01611,0.06424,0.01080,0.14653,0.00895,0.31319,0.02185,0.75143,0.00045,0.09583,0.00010,0.29879,0.00043,0.15363,0.02910
diffusion_policy_credit_probe,stress_09,1.00000,10,0.62813,0.02198,0.38924,0.01741,0.34410,0.02402,0.11806,0.01243,0.30312,0.01692,0.06528,0.00785,0.16076,0.01170,0.30799,0.02204,0.77315,0.00050,0.10672,0.00008,0.30680,0.00045,0.12443,0.02689
oracle_event_credit_labels,stress_00,0.00000,10,0.90486,0.01331,0.76701,0.01773,0.81111,0.01227,0.00243,0.00269,0.01736,0.00442,0.00104,0.00104,0.00243,0.00204,0.64236,0.01645,0.31607,0.00044,0.00200,0.00000,0.00000,0.00000,0.83402,0.01398
oracle_event_credit_labels,stress_01,0.11111,10,0.90903,0.00854,0.74549,0.01763,0.79618,0.01209,0.00313,0.00277,0.02431,0.00688,0.00139,0.00150,0.00174,0.00209,0.63264,0.01619,0.33704,0.00035,0.00200,0.00000,0.00000,0.00000,0.83163,0.00841
oracle_event_credit_labels,stress_02,0.22222,10,0.90938,0.00587,0.72569,0.01812,0.77465,0.01207,0.00139,0.00150,0.03403,0.00440,0.00139,0.00150,0.00104,0.00145,0.61285,0.01126,0.35811,0.00043,0.00200,0.00000,0.00000,0.00000,0.82578,0.00632
oracle_event_credit_labels,stress_03,0.33333,10,0.91319,0.01064,0.70208,0.01034,0.75764,0.01372,0.00174,0.00113,0.05035,0.00636,0.00139,0.00150,0.00069,0.00136,0.60451,0.01609,0.37922,0.00040,0.00200,0.00000,0.00000,0.00000,0.81942,0.01186
oracle_event_credit_labels,stress_04,0.44444,10,0.91597,0.01286,0.69757,0.00932,0.73576,0.01336,0.00139,0.00111,0.06250,0.00565,0.00139,0.00150,0.00104,0.00145,0.59479,0.02109,0.40031,0.00027,0.00200,0.00000,0.00000,0.00000,0.81367,0.01451
oracle_event_credit_labels,stress_05,0.55556,10,0.91840,0.00892,0.68819,0.01972,0.71458,0.01455,0.00069,0.00091,0.07083,0.01144,0.00139,0.00208,0.00069,0.00091,0.58854,0.01637,0.42127,0.00041,0.00200,0.00000,0.00000,0.00000,0.80980,0.00955
oracle_event_credit_labels,stress_06,0.66667,10,0.92847,0.00819,0.67153,0.01917,0.69687,0.01522,0.00104,0.00145,0.08750,0.00983,0.00104,0.00104,0.00104,0.00104,0.56910,0.01389,0.44205,0.00032,0.00200,0.00000,0.00000,0.00000,0.80954,0.00626
oracle_event_credit_labels,stress_07,0.77778,10,0.92847,0.00740,0.65729,0.01484,0.68993,0.01234,0.00104,0.00145,0.08715,0.00762,0.00139,0.00111,0.00104,0.00145,0.56181,0.01865,0.46308,0.00043,0.00200,0.00000,0.00000,0.00000,0.80594,0.00785
oracle_event_credit_labels,stress_08,0.88889,10,0.93715,0.01022,0.64097,0.01818,0.66910,0.01467,0.00000,0.00000,0.10139,0.00940,0.00174,0.00152,0.00139,0.00150,0.53750,0.01988,0.48434,0.00043,0.00202,0.00001,0.00000,0.00000,0.80514,0.00957
oracle_event_credit_labels,stress_09,1.00000,10,0.93750,0.00830,0.62500,0.01263,0.65104,0.01399,0.00139,0.00181,0.11944,0.01000,0.00174,0.00152,0.00313,0.00237,0.52674,0.02126,0.50489,0.00034,0.00324,0.00006,0.00000,0.00000,0.79278,0.00570
proposed_reward_free_temporal_credit_v4,stress_00,0.00000,10,0.76076,0.01240,0.62778,0.01341,0.63229,0.02136,0.00313,0.00188,0.11771,0.01389,0.00243,0.00145,0.04792,0.00624,0.51007,0.01759,0.44870,0.00049,0.00200,0.00000,0.15064,0.00069,0.59349,0.00721
proposed_reward_free_temporal_credit_v4,stress_01,0.11111,10,0.74931,0.01490,0.60486,0.01561,0.61771,0.01915,0.00729,0.00328,0.13056,0.01324,0.00556,0.00324,0.05139,0.00751,0.51562,0.01468,0.47021,0.00035,0.00200,0.00000,0.15629,0.00049,0.56561,0.01152
proposed_reward_free_temporal_credit_v4,stress_02,0.22222,10,0.74653,0.01435,0.58958,0.01645,0.59583,0.02271,0.01042,0.00537,0.14583,0.01639,0.00556,0.00354,0.04931,0.00671,0.49757,0.01112,0.49196,0.00030,0.00220,0.00003,0.16103,0.00048,0.55271,0.01287
proposed_reward_free_temporal_credit_v4,stress_03,0.33333,10,0.74861,0.01505,0.57153,0.01941,0.57813,0.02109,0.01597,0.00667,0.15729,0.01559,0.00799,0.00465,0.05625,0.00730,0.48021,0.01552,0.51333,0.00040,0.00547,0.00010,0.16577,0.00056,0.53665,0.01431
proposed_reward_free_temporal_credit_v4,stress_04,0.44444,10,0.74896,0.01346,0.55104,0.01460,0.57049,0.02508,0.02083,0.00830,0.17708,0.01763,0.01076,0.00399,0.06458,0.00754,0.46771,0.02190,0.53482,0.00046,0.01204,0.00009,0.17040,0.00057,0.51417,0.01938
proposed_reward_free_temporal_credit_v4,stress_05,0.55556,10,0.75139,0.01481,0.52222,0.01260,0.55174,0.02603,0.02847,0.00598,0.18958,0.01252,0.01215,0.00355,0.07118,0.00800,0.46285,0.01772,0.55621,0.00039,0.02114,0.00006,0.17458,0.00030,0.49791,0.02197
proposed_reward_free_temporal_credit_v4,stress_06,0.66667,10,0.75729,0.01321,0.50764,0.00866,0.55208,0.02386,0.03438,0.00399,0.20000,0.01835,0.01771,0.00522,0.07500,0.00844,0.44549,0.01815,0.57772,0.00047,0.03231,0.00007,0.17917,0.00038,0.48379,0.02349
proposed_reward_free_temporal_credit_v4,stress_07,0.77778,10,0.74306,0.01449,0.49271,0.00629,0.51597,0.02267,0.03681,0.00838,0.21042,0.01414,0.02014,0.00495,0.08229,0.00984,0.43264,0.01769,0.59958,0.00042,0.04367,0.00008,0.18363,0.00030,0.45241,0.02610
proposed_reward_free_temporal_credit_v4,stress_08,0.88889,10,0.74167,0.01933,0.47882,0.01104,0.50799,0.02197,0.04340,0.00774,0.22708,0.01689,0.02257,0.00396,0.08160,0.00768,0.41458,0.02032,0.62114,0.00038,0.05509,0.00012,0.18804,0.00059,0.43425,0.02547
proposed_reward_free_temporal_credit_v4,stress_09,1.00000,10,0.75208,0.01339,0.48090,0.01589,0.48993,0.01864,0.04688,0.00652,0.22604,0.01637,0.02674,0.00476,0.08507,0.00974,0.40833,0.02035,0.64202,0.00033,0.06607,0.00012,0.19168,0.00059,0.43248,0.01573
pseudo_reward_td_relabeling,stress_00,0.00000,10,0.65417,0.01569,0.47222,0.01860,0.51007,0.01963,0.05104,0.00786,0.20903,0.01147,0.02639,0.00719,0.11042,0.01147,0.38611,0.01739,0.56449,0.00035,0.01043,0.00006,0.22942,0.00035,0.33824,0.01733
pseudo_reward_td_relabeling,stress_01,0.11111,10,0.65521,0.01920,0.46944,0.01924,0.49201,0.02227,0.05903,0.01040,0.21944,0.01019,0.03160,0.00821,0.11944,0.01256,0.39306,0.01115,0.58663,0.00030,0.02064,0.00006,0.24068,0.00042,0.31538,0.01650
pseudo_reward_td_relabeling,stress_02,0.22222,10,0.65104,0.01907,0.45243,0.01893,0.47674,0.02214,0.06181,0.01445,0.22812,0.01055,0.03681,0.00733,0.13472,0.01169,0.37014,0.01460,0.60845,0.00060,0.03202,0.00007,0.25135,0.00041,0.28663,0.02018
pseudo_reward_td_relabeling,stress_03,0.33333,10,0.65521,0.02225,0.42882,0.01918,0.46215,0.01580,0.08472,0.01450,0.23993,0.00954,0.03993,0.00914,0.12396,0.00673,0.36493,0.01336,0.63054,0.00055,0.04341,0.00011,0.26182,0.00042,0.27363,0.02371
pseudo_reward_td_relabeling,stress_04,0.44444,10,0.65278,0.01623,0.39201,0.01640,0.45208,0.01507,0.09653,0.01029,0.25417,0.00877,0.03993,0.00539,0.14375,0.01050,0.35486,0.01229,0.65243,0.00059,0.05478,0.00011,0.27190,0.00056,0.24287,0.01629
pseudo_reward_td_relabeling,stress_05,0.55556,10,0.64687,0.01102,0.38090,0.02575,0.42778,0.01504,0.10174,0.00718,0.26806,0.01034,0.04340,0.00652,0.15590,0.01007,0.34722,0.01143,0.67437,0.00046,0.06629,0.00013,0.28122,0.00067,0.21285,0.01356
pseudo_reward_td_relabeling,stress_06,0.66667,10,0.62813,0.01440,0.38264,0.01476,0.39479,0.02145,0.10972,0.00844,0.27951,0.01231,0.05590,0.00769,0.15347,0.01008,0.33542,0.01740,0.69641,0.00042,0.07768,0.00014,0.29084,0.00061,0.16878,0.02117
pseudo_reward_td_relabeling,stress_07,0.77778,10,0.61840,0.01580,0.35694,0.01635,0.38507,0.02012,0.11910,0.00861,0.30729,0.01428,0.06354,0.00896,0.17014,0.00989,0.32778,0.02179,0.71831,0.00043,0.08926,0.00012,0.30062,0.00047,0.11972,0.02277
pseudo_reward_td_relabeling,stress_08,0.88889,10,0.60278,0.01112,0.34236,0.01725,0.37326,0.02310,0.12812,0.01211,0.32188,0.01882,0.07049,0.00818,0.17639,0.01174,0.32465,0.01830,0.74021,0.00052,0.10073,0.00013,0.31011,0.00051,0.07770,0.02405
pseudo_reward_td_relabeling,stress_09,1.00000,10,0.59861,0.01377,0.31875,0.01390,0.36562,0.02296,0.14236,0.01157,0.34965,0.02106,0.08125,0.01000,0.17569,0.01121,0.30382,0.01370,0.76167,0.00053,0.11166,0.00009,0.31885,0.00057,0.03932,0.02134
risk_calibrated_temporal_credit_v5,stress_00,0.00000,10,0.83819,0.01171,0.69757,0.02656,0.71840,0.01249,0.00104,0.00104,0.05451,0.00837,0.00139,0.00150,0.01076,0.00328,0.56910,0.00975,0.36620,0.00065,0.00200,0.00000,0.07035,0.00042,0.73535,0.01397
risk_calibrated_temporal_credit_v5,stress_01,0.11111,10,0.84062,0.01042,0.67604,0.02077,0.70590,0.01532,0.00174,0.00113,0.06563,0.00762,0.00104,0.00145,0.01528,0.00340,0.57674,0.01896,0.38725,0.00060,0.00200,0.00000,0.07272,0.00023,0.72699,0.01027
risk_calibrated_temporal_credit_v5,stress_02,0.22222,10,0.84826,0.00786,0.66701,0.01690,0.69063,0.02028,0.00313,0.00258,0.07639,0.00786,0.00104,0.00145,0.01979,0.00537,0.57014,0.02273,0.40839,0.00047,0.00200,0.00000,0.07400,0.00062,0.72326,0.00510
risk_calibrated_temporal_credit_v5,stress_03,0.33333,10,0.84479,0.01505,0.65382,0.01335,0.68021,0.02339,0.00278,0.00136,0.08819,0.00825,0.00208,0.00208,0.01979,0.00650,0.57049,0.02338,0.42925,0.00031,0.00200,0.00000,0.07495,0.00056,0.71051,0.01383
risk_calibrated_temporal_credit_v5,stress_04,0.44444,10,0.84965,0.01303,0.64201,0.01506,0.66111,0.01582,0.00243,0.00177,0.10174,0.01074,0.00313,0.00277,0.01840,0.00518,0.55382,0.02559,0.45039,0.00044,0.00200,0.00000,0.07580,0.00040,0.70619,0.01245
risk_calibrated_temporal_credit_v5,stress_05,0.55556,10,0.85903,0.00931,0.62118,0.01244,0.64826,0.00913,0.00243,0.00177,0.11944,0.00979,0.00208,0.00181,0.02153,0.00484,0.54861,0.02495,0.47142,0.00034,0.00200,0.00000,0.07640,0.00056,0.70397,0.01214
risk_calibrated_temporal_credit_v5,stress_06,0.66667,10,0.86146,0.01359,0.60972,0.01153,0.63924,0.01547,0.00208,0.00181,0.13472,0.01229,0.00208,0.00181,0.02569,0.00478,0.52222,0.01970,0.49257,0.00028,0.00200,0.00000,0.07670,0.00059,0.69418,0.01631
risk_calibrated_temporal_credit_v5,stress_07,0.77778,10,0.85903,0.01218,0.59653,0.01494,0.61215,0.01973,0.00243,0.00177,0.15069,0.01324,0.00174,0.00183,0.02465,0.00522,0.52222,0.02267,0.51346,0.00021,0.00220,0.00002,0.07702,0.00045,0.68255,0.01661
risk_calibrated_temporal_credit_v5,stress_08,0.88889,10,0.85660,0.00673,0.57188,0.01812,0.59618,0.02340,0.00243,0.00177,0.15903,0.01138,0.00104,0.00104,0.02813,0.00560,0.50868,0.02109,0.53484,0.00039,0.00495,0.00006,0.07753,0.00047,0.67159,0.00606
risk_calibrated_temporal_credit_v5,stress_09,1.00000,10,0.85764,0.00657,0.54444,0.02493,0.59028,0.02632,0.00278,0.00170,0.17222,0.00958,0.00139,0.00150,0.03056,0.00505,0.50590,0.01152,0.55520,0.00049,0.00968,0.00007,0.07782,0.00056,0.66139,0.00623
sequence_contrastive_credit,stress_00,0.00000,10,0.65590,0.01665,0.49236,0.01441,0.44028,0.01919,0.05556,0.00537,0.21875,0.01205,0.03229,0.00601,0.10174,0.01107,0.37639,0.01677,0.62032,0.00039,0.00703,0.00011,0.24863,0.00057,0.32595,0.02267
sequence_contrastive_credit,stress_01,0.11111,10,0.64861,0.01914,0.46563,0.01141,0.42083,0.01870,0.06250,0.00430,0.22639,0.01483,0.03993,0.00619,0.10625,0.00761,0.36181,0.02430,0.64192,0.00038,0.01546,0.00011,0.26064,0.00060,0.29679,0.02553
sequence_contrastive_credit,stress_02,0.22222,10,0.65521,0.01226,0.45486,0.01860,0.40208,0.01452,0.06910,0.00587,0.25312,0.01717,0.04618,0.00601,0.11424,0.00447,0.35243,0.02114,0.66377,0.00042,0.02665,0.00013,0.27190,0.00067,0.27277,0.01506
sequence_contrastive_credit,stress_03,0.33333,10,0.64201,0.01440,0.44688,0.01449,0.38681,0.01206,0.07500,0.00610,0.26806,0.01412,0.04653,0.00787,0.12465,0.01066,0.34687,0.02048,0.68565,0.00043,0.03808,0.00012,0.28284,0.00060,0.23922,0.01839
sequence_contrastive_credit,stress_04,0.44444,10,0.63542,0.01295,0.44097,0.01857,0.35729,0.01510,0.08437,0.00843,0.27847,0.01697,0.04861,0.00717,0.13333,0.01320,0.33819,0.02547,0.70773,0.00042,0.04958,0.00010,0.29333,0.00041,0.21162,0.01521
sequence_contrastive_credit,stress_05,0.55556,10,0.62049,0.01420,0.41771,0.02266,0.33681,0.01745,0.09792,0.00716,0.28611,0.01978,0.05625,0.00848,0.14688,0.01251,0.33299,0.01883,0.72977,0.00031,0.06101,0.00008,0.30339,0.00023,0.16574,0.01492
sequence_contrastive_credit,stress_06,0.66667,10,0.60938,0.01471,0.39792,0.02463,0.33542,0.01399,0.11354,0.00855,0.29410,0.01572,0.06563,0.00899,0.15417,0.01084,0.31493,0.02316,0.75167,0.00043,0.07245,0.00009,0.31370,0.00034,0.12452,0.01651
sequence_contrastive_credit,stress_07,0.77778,10,0.60382,0.01436,0.38299,0.02174,0.31736,0.01533,0.12153,0.01015,0.31840,0.01512,0.07569,0.01048,0.17049,0.01240,0.29410,0.01545,0.77369,0.00049,0.08389,0.00008,0.32429,0.00045,0.07929,0.01503
sequence_contrastive_credit,stress_08,0.88889,10,0.60069,0.01725,0.36562,0.01431,0.30069,0.01339,0.12847,0.01004,0.33611,0.01221,0.08264,0.01120,0.17535,0.01755,0.28715,0.01722,0.79555,0.00052,0.09532,0.00013,0.33448,0.00044,0.05033,0.01924
sequence_contrastive_credit,stress_09,1.00000,10,0.60104,0.01580,0.34410,0.01172,0.28611,0.00985,0.14722,0.00891,0.34618,0.01716,0.08750,0.00872,0.17986,0.01541,0.27986,0.02347,0.81708,0.00051,0.10625,0.00010,0.34382,0.00032,0.02498,0.02579
temporal_difference_world_model,stress_00,0.00000,10,0.71111,0.01642,0.53056,0.01856,0.57500,0.01755,0.03576,0.00739,0.16562,0.01588,0.01285,0.00508,0.07500,0.00489,0.44653,0.01485,0.51118,0.00046,0.00200,0.00000,0.19323,0.00045,0.46480,0.01815
temporal_difference_world_model,stress_01,0.11111,10,0.70972,0.02255,0.52014,0.02320,0.55278,0.01709,0.04757,0.00825,0.18299,0.01627,0.01806,0.00624,0.08264,0.00901,0.45035,0.01821,0.53295,0.00067,0.00357,0.00007,0.20253,0.00043,0.43638,0.02484
temporal_difference_world_model,stress_02,0.22222,10,0.70451,0.02872,0.51458,0.02383,0.53264,0.02085,0.05764,0.00719,0.18750,0.01688,0.02361,0.00615,0.09028,0.00673,0.44236,0.01674,0.55495,0.00045,0.00923,0.00007,0.21061,0.00047,0.40962,0.03111
temporal_difference_world_model,stress_03,0.33333,10,0.69757,0.02339,0.48681,0.02011,0.52049,0.01553,0.05660,0.00688,0.19653,0.01758,0.02431,0.00517,0.09722,0.00946,0.42535,0.01080,0.57653,0.00043,0.01786,0.00009,0.21865,0.00054,0.39017,0.02817
temporal_difference_world_model,stress_04,0.44444,10,0.68715,0.01931,0.47187,0.02129,0.50208,0.01439,0.06458,0.00850,0.22014,0.00719,0.03264,0.00456,0.10764,0.01083,0.41215,0.02353,0.59818,0.00019,0.02896,0.00010,0.22615,0.00057,0.34603,0.01979
temporal_difference_world_model,stress_05,0.55556,10,0.68125,0.01229,0.46319,0.01955,0.49097,0.01485,0.07292,0.01384,0.23715,0.00896,0.03889,0.00544,0.11458,0.01139,0.40000,0.02178,0.62015,0.00020,0.04038,0.00011,0.23343,0.00024,0.31337,0.01701
temporal_difference_world_model,stress_06,0.66667,10,0.67569,0.01331,0.43403,0.01679,0.47222,0.01630,0.08021,0.01215,0.26042,0.00941,0.04132,0.00932,0.12014,0.00995,0.39028,0.02157,0.64152,0.00046,0.05184,0.00009,0.24106,0.00022,0.28409,0.02074
temporal_difference_world_model,stress_07,0.77778,10,0.67708,0.01837,0.41701,0.01527,0.45556,0.01129,0.09375,0.00830,0.26424,0.02233,0.04583,0.00956,0.12326,0.01621,0.38160,0.02453,0.66372,0.00050,0.06330,0.00009,0.24882,0.00030,0.26600,0.03198
temporal_difference_world_model,stress_08,0.88889,10,0.69201,0.01746,0.40937,0.01671,0.43785,0.01759,0.10903,0.01388,0.27083,0.01871,0.04583,0.00829,0.12847,0.01357,0.37049,0.02289,0.68555,0.00032,0.07470,0.00008,0.25599,0.00047,0.26320,0.02243
temporal_difference_world_model,stress_09,1.00000,10,0.68785,0.02372,0.38715,0.01482,0.43125,0.02462,0.11389,0.01887,0.29306,0.01522,0.05972,0.00835,0.12743,0.01679,0.35000,0.01765,0.70676,0.00041,0.08570,0.00008,0.26264,0.00047,0.22846,0.02767
transformer_attention_attribution,stress_00,0.00000,10,0.60451,0.02167,0.43368,0.01340,0.36979,0.01418,0.08056,0.00889,0.27847,0.01903,0.05729,0.00705,0.13403,0.01327,0.31250,0.01865,0.68131,0.00038,0.02573,0.00010,0.28878,0.00056,0.18020,0.02398
transformer_attention_attribution,stress_01,0.11111,10,0.60278,0.02121,0.42569,0.01519,0.34167,0.01793,0.09583,0.00925,0.29271,0.01789,0.05833,0.00544,0.15069,0.01331,0.30174,0.01929,0.70332,0.00021,0.03716,0.00013,0.30297,0.00031,0.14924,0.02189
transformer_attention_attribution,stress_02,0.22222,10,0.59931,0.01821,0.40729,0.01222,0.31736,0.01343,0.10243,0.01103,0.30069,0.01425,0.06007,0.00518,0.15347,0.00906,0.29167,0.01860,0.72571,0.00033,0.04860,0.00015,0.31618,0.00039,0.13112,0.01785
